Пол,Сумма.баллов,ЕГЭ...матем.,ЕГЭ...рус.яз.,Аттестат.с.отличием.оценка,ГТО.оценка,Сочинение.оценка,Регион,Тип.насел..пункта,Дата.рождения,День.рождения,Месяц.рождения
МУЖСКОЙ,353,94,98,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.10.2000,17,10
МУЖСКОЙ,340,82,72,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.02.2000,11,2
МУЖСКОЙ,369,88,98,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.04.1999,7,4
МУЖСКОЙ,356,94,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.03.2000,11,3
МУЖСКОЙ,372,100,86,0,0,1,Саха /Якутия/ Респ,ГОРОД,02.05.1999,2,5
МУЖСКОЙ,353,96,66,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.12.1999,8,12
МУЖСКОЙ,375,98,91,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.01.2000,8,1
МУЖСКОЙ,356,92,86,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.04.2000,26,4
МУЖСКОЙ,341,82,73,0,0,0,Пермский край,ГОРОД,05.09.1996,5,9
МУЖСКОЙ,353,96,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.07.1999,2,7
МУЖСКОЙ,357,92,76,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.06.1999,19,6
МУЖСКОЙ,360,92,81,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.07.1999,25,7
ЖЕНСКИЙ,356,94,98,5,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,22.04.2000,22,4
ЖЕНСКИЙ,359,86,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.08.1999,6,8
МУЖСКОЙ,398,100,96,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.05.2000,3,5
МУЖСКОЙ,380,98,91,0,0,3,Калужская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,21.09.2001,21,9
ЖЕНСКИЙ,374,92,96,5,0,2,Новосибирская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,28.06.1999,28,6
МУЖСКОЙ,356,84,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.02.2000,22,2
ЖЕНСКИЙ,389,99,98,5,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.03.1999,16,3
МУЖСКОЙ,360,92,72,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.01.2000,28,1
ЖЕНСКИЙ,364,90,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.06.1999,11,6
МУЖСКОЙ,346,88,67,0,0,2,Калужская обл,ГОРОД,02.01.2000,2,1
МУЖСКОЙ,354,86,91,0,0,1,Московская обл,ГОРОД,04.08.1999,4,8
МУЖСКОЙ,347,88,76,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.08.1999,10,8
МУЖСКОЙ,361,99,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.12.1998,17,12
МУЖСКОЙ,351,80,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.10.1999,9,10
ЖЕНСКИЙ,339,76,88,0,0,1,Московская обл,ГОРОД,19.11.1999,19,11
МУЖСКОЙ,356,90,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.02.1999,21,2
ЖЕНСКИЙ,343,92,91,0,0,2,Московская обл,ГОРОД,09.09.1999,9,9
ЖЕНСКИЙ,347,88,96,0,0,2,Белгородская обл,ГОРОД,19.07.1999,19,7
МУЖСКОЙ,360,94,93,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.06.1999,18,6
ЖЕНСКИЙ,370,86,88,5,0,2,Нижегородская обл,ГОРОД,18.04.1999,18,4
ЖЕНСКИЙ,345,94,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.12.1998,24,12
МУЖСКОЙ,372,92,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.05.2000,16,5
МУЖСКОЙ,383,99,88,0,0,2,Московская обл,ГОРОД,31.12.1999,31,12
МУЖСКОЙ,340,82,86,0,2,1,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.07.1999,21,7
МУЖСКОЙ,367,86,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.04.2000,6,4
МУЖСКОЙ,271,56,81,5,0,1,Волгоградская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.07.2000,7,7
МУЖСКОЙ,389,98,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.12.1999,13,12
МУЖСКОЙ,373,100,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.02.1999,7,2
МУЖСКОЙ,382,100,96,0,0,2,Рязанская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,10.04.1999,10,4
ЖЕНСКИЙ,401,100,93,5,0,3,Московская обл,ГОРОД,02.05.2000,2,5
МУЖСКОЙ,353,94,70,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.09.1999,12,9
ЖЕНСКИЙ,391,92,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.07.1999,11,7
ЖЕНСКИЙ,368,98,96,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.09.1999,6,9
ЖЕНСКИЙ,361,78,96,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.09.2000,11,9
МУЖСКОЙ,370,96,81,0,0,1,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.09.1999,16,9
МУЖСКОЙ,364,86,83,5,0,1,Владимирская обл,ГОРОД,06.10.1999,6,10
ЖЕНСКИЙ,378,94,91,0,0,1,Чувашская Респ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.03.1999,16,3
ЖЕНСКИЙ,397,96,100,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.05.2000,17,5
МУЖСКОЙ,357,98,79,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.01.1998,31,1
МУЖСКОЙ,377,100,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.10.2000,25,10
МУЖСКОЙ,360,94,73,0,0,1,Ульяновская обл,ГОРОД,16.06.1999,16,6
МУЖСКОЙ,363,94,93,0,0,1,Саха /Якутия/ Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.03.1999,9,3
ЖЕНСКИЙ,394,94,96,5,0,3,Самарская обл,ГОРОД,18.06.1999,18,6
МУЖСКОЙ,352,92,98,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.03.1999,9,3
МУЖСКОЙ,382,96,88,0,0,2,Свердловская обл,ГОРОД,03.12.1998,3,12
МУЖСКОЙ,384,94,88,0,0,2,Московская обл,ГОРОД,10.07.1999,10,7
ЖЕНСКИЙ,379,99,93,0,0,2,Пермский край,ГОРОД,07.05.1998,7,5
ЖЕНСКИЙ,333,82,96,5,0,2,Красноярский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,05.09.1999,5,9
ЖЕНСКИЙ,381,88,91,0,0,2,Саратовская обл,ГОРОД,13.01.2000,13,1
МУЖСКОЙ,370,88,93,0,0,2,Татарстан Респ,ГОРОД,25.06.1999,25,6
МУЖСКОЙ,348,94,76,0,0,0,Хабаровский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,19.02.2000,19,2
МУЖСКОЙ,226,56,73,0,0,1,Московская обл,ГОРОД,22.07.1999,22,7
МУЖСКОЙ,358,88,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.05.1999,11,5
ЖЕНСКИЙ,355,96,86,0,0,2,Калужская обл,ГОРОД,29.05.1999,29,5
МУЖСКОЙ,341,86,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.04.2000,19,4
МУЖСКОЙ,361,84,96,5,0,2,Тульская обл,ГОРОД,25.06.1999,25,6
МУЖСКОЙ,373,96,96,5,0,2,Владимирская обл,ГОРОД,31.01.2000,31,1
МУЖСКОЙ,379,96,81,5,0,2,Пензенская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,19.06.1999,19,6
ЖЕНСКИЙ,316,82,96,5,0,2,Московская обл,ГОРОД,27.03.1999,27,3
ЖЕНСКИЙ,293,86,93,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.06.1999,12,6
ЖЕНСКИЙ,335,88,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.05.1999,30,5
МУЖСКОЙ,352,88,83,0,0,2,Тюменская обл,ГОРОД,17.04.1999,17,4
МУЖСКОЙ,345,84,83,5,0,2,Московская обл,ГОРОД,18.05.1999,18,5
ЖЕНСКИЙ,368,86,88,5,0,2,Калининградская обл,ГОРОД,07.06.1999,7,6
МУЖСКОЙ,398,100,98,0,2,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,13.04.1999,13,4
МУЖСКОЙ,348,84,86,0,2,2,Крым респ.,ГОРОД,14.07.1999,14,7
МУЖСКОЙ,347,80,98,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.06.1999,26,6
ЖЕНСКИЙ,350,92,98,5,0,2,Смоленская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.08.1999,9,8
МУЖСКОЙ,385,84,100,5,0,2,Московская обл,ГОРОД,30.08.1999,30,8
МУЖСКОЙ,348,94,69,0,0,2,Саха /Якутия/ Респ,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,17.04.1999,17,4
ЖЕНСКИЙ,363,90,86,5,0,2,Рязанская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,05.05.1999,5,5
МУЖСКОЙ,359,78,83,0,0,2,Московская обл,ГОРОД,26.04.2000,26,4
МУЖСКОЙ,381,98,88,5,0,1,Тверская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,19.04.2000,19,4
МУЖСКОЙ,360,90,93,5,0,2,Тульская обл,ГОРОД,27.05.1999,27,5
МУЖСКОЙ,355,88,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.04.2000,23,4
МУЖСКОЙ,340,76,93,0,0,0,Пермский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.05.1998,7,5
МУЖСКОЙ,372,96,76,0,0,0,Московская обл,ГОРОД,26.07.1999,26,7
ЖЕНСКИЙ,353,92,88,0,0,2,Новосибирская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,06.07.1998,6,7
ЖЕНСКИЙ,354,92,91,5,0,1,Курганская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,24.09.1999,24,9
МУЖСКОЙ,340,80,100,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.01.2000,3,1
МУЖСКОЙ,366,86,86,0,0,2,Нижегородская обл,ГОРОД,15.06.1999,15,6
ЖЕНСКИЙ,308,82,96,5,0,3,Калмыкия Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.10.1999,9,10
ЖЕНСКИЙ,363,86,88,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.02.1999,9,2
ЖЕНСКИЙ,364,94,73,0,2,1,Башкортостан Респ,ГОРОД,02.01.2000,2,1
МУЖСКОЙ,375,96,88,0,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,27.02.1999,27,2
МУЖСКОЙ,360,88,81,0,0,2,Самарская обл,ГОРОД,07.02.1999,7,2
МУЖСКОЙ,361,94,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.01.1999,10,1
МУЖСКОЙ,370,96,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.09.1999,26,9
МУЖСКОЙ,364,88,96,0,2,1,Самарская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.07.1998,7,7
МУЖСКОЙ,371,76,96,5,0,2,Орловская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,04.03.1999,4,3
МУЖСКОЙ,373,95,84,0,0,0,Белгородская обл,ГОРОД,01.09.1996,1,9
МУЖСКОЙ,257,72,76,0,0,0,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.01.2000,13,1
МУЖСКОЙ,356,90,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.12.1998,7,12
МУЖСКОЙ,383,99,86,5,0,1,Коми Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,04.05.1999,4,5
ЖЕНСКИЙ,362,90,79,0,0,1,Волгоградская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.09.1997,29,9
ЖЕНСКИЙ,353,78,88,5,0,2,Башкортостан Респ,ГОРОД,18.06.1999,18,6
ЖЕНСКИЙ,363,98,93,0,0,1,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,19.09.1999,19,9
МУЖСКОЙ,342,86,93,0,0,1,Оренбургская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,08.04.1999,8,4
МУЖСКОЙ,353,86,73,5,0,2,Волгоградская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,15.12.1999,15,12
МУЖСКОЙ,338,88,78,5,0,1,Кировская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,22.04.1999,22,4
ЖЕНСКИЙ,366,86,81,5,0,2,Башкортостан Респ,ГОРОД,21.03.2000,21,3
МУЖСКОЙ,346,94,81,5,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.11.1999,30,11
ЖЕНСКИЙ,366,92,91,0,0,2,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.12.1998,1,12
МУЖСКОЙ,353,82,81,0,0,1,Башкортостан Респ,ГОРОД,30.08.1999,30,8
ЖЕНСКИЙ,374,96,83,0,0,1,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,29.10.1999,29,10
ЖЕНСКИЙ,383,90,91,5,0,1,Башкортостан Респ,ГОРОД,01.03.1999,1,3
МУЖСКОЙ,347,80,93,0,0,3,Красноярский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,18.05.1998,18,5
МУЖСКОЙ,374,80,100,5,2,2,Смоленская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,21.08.1999,21,8
ЖЕНСКИЙ,317,80,96,5,0,2,Башкортостан Респ,ГОРОД,27.10.1999,27,10
ЖЕНСКИЙ,338,78,78,5,0,2,Московская обл,ГОРОД,15.09.1999,15,9
ЖЕНСКИЙ,346,80,100,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.01.1999,21,1
ЖЕНСКИЙ,350,88,93,5,0,1,Бурятия Респ,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,14.07.2000,14,7
МУЖСКОЙ,366,92,98,0,0,2,Башкортостан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,23.09.1999,23,9
МУЖСКОЙ,344,92,91,5,0,2,Пермский край,ГОРОД,13.07.1999,13,7
МУЖСКОЙ,399,100,93,5,0,1,Новосибирская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,26.01.2000,26,1
ЖЕНСКИЙ,356,90,96,5,0,1,Краснодарский край,ГОРОД,04.06.1999,4,6
ЖЕНСКИЙ,367,92,98,5,0,2,Самарская обл,ГОРОД,21.08.1999,21,8
ЖЕНСКИЙ,347,90,98,5,0,2,Омская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,04.02.2000,4,2
МУЖСКОЙ,365,80,88,5,0,1,Башкортостан Респ,ГОРОД,07.12.1999,7,12
МУЖСКОЙ,351,94,78,0,0,1,Московская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.05.1999,6,5
МУЖСКОЙ,364,79,87,0,0,0,Ростовская обл,ГОРОД,15.09.1996,15,9
ЖЕНСКИЙ,355,88,96,5,0,2,Краснодарский край,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,21.03.2000,21,3
ЖЕНСКИЙ,395,99,91,5,0,2,Забайкальский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,17.10.1999,17,10
ЖЕНСКИЙ,389,98,96,0,0,1,Томская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,16.05.1999,16,5
МУЖСКОЙ,362,96,86,5,0,0,Мурманская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.05.1999,9,5
ЖЕНСКИЙ,387,92,93,0,0,2,Ставропольский край,ГОРОД,11.11.1998,11,11
МУЖСКОЙ,385,96,88,0,0,1,Ставропольский край,ГОРОД,01.04.1999,1,4
МУЖСКОЙ,370,96,93,5,0,2,Свердловская обл,ГОРОД,04.03.1999,4,3
МУЖСКОЙ,348,88,78,0,0,2,Свердловская обл,ГОРОД,22.01.1999,22,1
МУЖСКОЙ,384,98,96,0,0,1,Забайкальский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,27.06.1999,27,6
МУЖСКОЙ,351,82,93,0,0,2,Брянская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,10.12.1999,10,12
ЖЕНСКИЙ,373,90,91,5,0,2,Кировская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.10.1999,9,10
МУЖСКОЙ,373,90,96,5,2,2,Нижегородская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,13.09.1999,13,9
МУЖСКОЙ,363,90,81,0,0,0,Калининградская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,11.11.1999,11,11
ЖЕНСКИЙ,391,98,91,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.01.2000,31,1
МУЖСКОЙ,393,96,96,5,0,2,Оренбургская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.1999,4,9
МУЖСКОЙ,336,80,96,5,2,1,Калмыкия Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.08.1998,7,8
МУЖСКОЙ,380,96,86,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.08.1999,24,8
МУЖСКОЙ,360,92,100,5,0,2,Амурская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,11.04.1998,11,4
МУЖСКОЙ,354,84,76,5,0,2,Ивановская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,17.03.2000,17,3
МУЖСКОЙ,364,92,100,5,0,2,Иркутская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,04.10.1999,4,10
МУЖСКОЙ,359,80,73,5,0,1,Волгоградская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,15.07.1999,15,7
МУЖСКОЙ,353,82,88,0,0,2,Самарская обл,ГОРОД,13.07.1999,13,7
